File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 1u,Signal to Noise Ratio 1u,Mean Signal 5u,Signal to Noise Ratio 5u,Start to Start Distance From Last Set 5u,Mean Signal 10u,Signal to Noise Ratio 10u,Start to Start Distance From Last Set 10u,Start to Start Distance From Last Set 1u
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Top,7.611,1.313,3,34.169,11.925,95.102,33.191,125,146.502,51.129,97,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Middle,9.062,2.685,3,30.422,7.509,73.156,18.057,110,151.422,37.375,96,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Bottom,7.124,1.479,3,45.027,8.790,70.627,13.787,111,130.160,25.408,111,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Top,31.871,3.055,3,92.120,8.432,146.987,13.454,110,194.653,17.817,112,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Middle,28.856,2.581,3,111.293,13.480,150.160,18.187,111,200.760,24.316,108,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Bottom,27.449,2.461,3,79.480,12.500,122.080,19.200,84,189.347,29.779,124,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Top,20.789,3.781,3,148.262,11.269,225.462,17.137,111,234.662,17.836,110,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Middle,23.853,3.985,3,152.400,11.335,206.267,15.341,107,230.133,17.116,112,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Bottom,24.178,3.604,3,119.271,11.242,193.738,18.261,111,230.738,21.748,112,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Top,14.784,1.780,3,69.440,11.239,145.573,23.562,111,199.840,32.345,112,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Middle,14.764,2.976,3,59.476,11.286,162.476,30.831,94,204.209,38.750,113,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Bottom,12.096,1.514,3,77.369,17.364,132.502,29.738,112,179.036,40.181,111,0
